,net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,year
43,8716912000008,871691280000000008,Ruysdaelstraat,7901GC,7901GC,HOOGEVEEN,11.0,100.0,100.0,73.0,1x40,3310,2015
44,8716912000008,871691280000000008,van der Helststraat,7901GE,7901GG,HOOGEVEEN,16.0,100.0,100.0,81.0,1x40,3195,2015
45,8716912000008,871691280000000008,Frans Halsstraat,7901GH,7901GH,HOOGEVEEN,15.0,100.0,100.0,73.0,1x25,2175,2015
46,8716912000008,871691280000000008,Frans Halsstraat,7901GJ,7901GJ,HOOGEVEEN,15.0,100.0,100.0,87.0,1x25,1985,2015
47,8716912000008,871691280000000008,van Goghlaan,7901GK,7901GL,HOOGEVEEN,18.0,100.0,100.0,44.0,1x25,8741,2015
48,8716912000008,871691280000000008,Da Costastraat,7901HA,7901HB,HOOGEVEEN,22.0,100.0,100.0,55.0,1x25,2357,2015
49,8716912000008,871691280000000008,Da Costastraat,7901HC,7901HC,HOOGEVEEN,12.0,100.0,100.0,75.0,1x25,2003,2015
50,8716912000008,871691280000000008,Hennie van Andelhof,7901HD,7901HD,HOOGEVEEN,80.0,100.0,100.0,98.0,3x25,27808,2015
51,8716912000008,871691280000000008,Da Costastraat,7901HE,7901HE,HOOGEVEEN,13.0,92.31,100.0,46.0,1x25,2873,2015
52,8716912000008,871691280000000008,Da Costastraat,7901HG,7901HG,HOOGEVEEN,15.0,100.0,100.0,67.0,1x40,2282,2015
53,8716912000008,871691280000000008,Da Costastraat,7901HH,7901HH,HOOGEVEEN,28.0,92.86,100.0,61.0,1x40,3009,2015
54,8716912000008,871691280000000008,De Genestetlaan,7901HN,7901HP,HOOGEVEEN,16.0,100.0,100.0,56.0,1x25,3055,2015
55,8716912000008,871691280000000008,Vondelstraat,7901HR,7901HR,HOOGEVEEN,10.0,100.0,100.0,40.0,1x40,4661,2015
56,8716912000008,871691280000000008,Huijgensstraat,7901HS,7901HS,HOOGEVEEN,14.0,100.0,100.0,79.0,1x25,1876,2015
57,8716912000008,871691280000000008,Huijgensstraat,7901HT,7901HT,HOOGEVEEN,12.0,100.0,100.0,83.0,1x25,2279,2015
58,8716912000008,871691280000000008,Huijgensstraat,7901HV,7901HV,HOOGEVEEN,14.0,100.0,100.0,71.0,1x25,2548,2015
59,8716912000008,871691280000000008,Huijgensstraat,7901HW,7901HW,HOOGEVEEN,12.0,100.0,100.0,67.0,1x25,2293,2015
60,8716912000008,871691280000000008,Bilderdijklaan,7901JA,7901JA,HOOGEVEEN,14.0,100.0,100.0,57.0,1x25,1894,2015
61,8716912000008,871691280000000008,Bilderdijklaan,7901JB,7901JB,HOOGEVEEN,11.0,100.0,100.0,55.0,1x25,2211,2015
62,8716912000008,871691280000000008,Bilderdijklaan,7901JC,7901JC,HOOGEVEEN,19.0,100.0,100.0,84.0,1x25,1760,2015
63,8716912000008,871691280000000008,Bilderdijklaan,7901JD,7901JD,HOOGEVEEN,14.0,100.0,100.0,50.0,1x25,2312,2015
64,8716912000008,871691280000000008,Bilderdijklaan,7901JE,7901JE,HOOGEVEEN,49.0,100.0,100.0,84.0,3x25,23958,2015
65,8716912000008,871691280000000008,Bilderdijklaan,7901JG,7901JG,HOOGEVEEN,12.0,100.0,100.0,58.0,1x25,2187,2015
66,8716912000008,871691280000000008,Bilderdijklaan,7901JH,7901JH,HOOGEVEEN,12.0,100.0,100.0,58.0,1x25,2451,2015
67,8716912000008,871691280000000008,Westerkerkstraat,7901JJ,7901JK,HOOGEVEEN,22.0,95.45,100.0,55.0,1x25,3046,2015
68,8716912000008,871691280000000008,Jacob Catsstraat,7901JL,7901JL,HOOGEVEEN,46.0,97.83,100.0,70.0,1x40,4542,2015
69,8716912000008,871691280000000008,Bilderdijkplein,7901JM,7901JM,HOOGEVEEN,16.0,93.75,100.0,63.0,1x40,3792,2015
70,8716912000008,871691280000000008,Reviusweg,7901JN,7901JR,HOOGEVEEN,23.0,100.0,100.0,48.0,3x25,16499,2015
71,8716912000008,871691280000000008,Hoofdstraat,7901JS,7901JT,HOOGEVEEN,31.0,100.0,96.77,48.0,3x25,18035,2015
72,8716912000008,871691280000000008,Hoofdstraat,7901JV,7901JV,HOOGEVEEN,22.0,95.45,100.0,41.0,1x40,14937,2015
73,8716912000008,871691280000000008,Hoofdstraat,7901JW,7901JW,HOOGEVEEN,24.0,100.0,100.0,33.0,3x25,25078,2015
74,8716912000008,871691280000000008,Hoofdstraat,7901JX,7901JX,HOOGEVEEN,12.0,91.67,100.0,33.0,3x25,15684,2015
75,8716912000008,871691280000000008,Hoofdstraat,7901JZ,7901JZ,HOOGEVEEN,56.0,96.43,100.0,38.0,1x40,17889,2015
76,8716912000008,871691280000000008,Dekkerpassage,7901KA,7901KB,HOOGEVEEN,20.0,100.0,100.0,85.0,3x25,6200,2015
77,8716912000008,871691280000000008,Dekkerpassage,7901KC,7901KC,HOOGEVEEN,17.0,100.0,100.0,100.0,3x25,2222,2015
78,8716912000008,871691280000000008,Dekkerpassage,7901KD,7901KD,HOOGEVEEN,17.0,100.0,100.0,100.0,3x25,2243,2015
79,8716912000008,871691280000000008,Dekkerpassage,7901KE,7901KE,HOOGEVEEN,16.0,100.0,100.0,100.0,3x25,2529,2015
80,8716912000008,871691280000000008,Nicolaas Beetsstraat,7901KH,7901KJ,HOOGEVEEN,21.0,100.0,100.0,43.0,3x25,4869,2015
81,8716912000008,871691280000000008,Nicolaas Beetsplein,7901KK,7901KL,HOOGEVEEN,32.0,100.0,100.0,63.0,1x40,5254,2015
82,8716912000008,871691280000000008,Brinkstraat,7901LA,7901LA,HOOGEVEEN,19.0,100.0,100.0,58.0,3x25,7444,2015
83,8716912000008,871691280000000008,Pesserstraat,7901LB,7901LB,HOOGEVEEN,18.0,83.33,100.0,50.0,3x25,4780,2015
84,8716912000008,871691280000000008,Pesserstraat,7901LC,7901LC,HOOGEVEEN,17.0,100.0,100.0,41.0,1x40,5576,2015
85,8716912000008,871691280000000008,Pesserstraat,7901LE,7901LE,HOOGEVEEN,10.0,100.0,100.0,40.0,1x25,3696,2015
86,8716912000008,871691280000000008,Marnixstraat,7901LG,7901LG,HOOGEVEEN,15.0,100.0,100.0,80.0,1x25,2024,2015
87,8716912000008,871691280000000008,Marnixstraat,7901LH,7901LH,HOOGEVEEN,16.0,100.0,100.0,63.0,1x25,1847,2015
88,8716912000008,871691280000000008,Voltastraat,7901LJ,7902AC,HOOGEVEEN,54.0,98.15,100.0,35.0,1x25,11456,2015
89,8716912000008,871691280000000008,Amalia van Solmsstraat,7902AD,7902AD,HOOGEVEEN,22.0,100.0,100.0,64.0,1x40,2408,2015
90,8716912000008,871691280000000008,Prins Mauritsplein,7902AE,7902AE,HOOGEVEEN,33.0,100.0,93.94,70.0,1x40,2391,2015
91,8716912000008,871691280000000008,Prins Mauritsplein,7902AG,7902AG,HOOGEVEEN,64.0,100.0,98.44,80.0,1x40,2896,2015
92,8716912000008,871691280000000008,Prinses Marijkestraat,7902AH,7902AH,HOOGEVEEN,15.0,100.0,100.0,73.0,1x40,2241,2015
93,8716912000008,871691280000000008,Prinses Marijkestraat,7902AJ,7902AJ,HOOGEVEEN,15.0,100.0,100.0,67.0,1x40,2795,2015
94,8716912000008,871691280000000008,Prinses Irenestraat,7902AK,7902AK,HOOGEVEEN,11.0,100.0,100.0,55.0,1x40,3759,2015
95,8716912000008,871691280000000008,Prinses Irenestraat,7902AL,7902AL,HOOGEVEEN,23.0,100.0,100.0,57.0,1x40,2998,2015
96,8716912000008,871691280000000008,Prinses Margrietstraat,7902AM,7902AM,HOOGEVEEN,12.0,91.67,100.0,58.0,1x40,3034,2015
97,8716912000008,871691280000000008,Noorderweg,7902AN,7902AN,HOOGEVEEN,18.0,100.0,100.0,61.0,1x40,3181,2015
98,8716912000008,871691280000000008,Noorderweg,7902AP,7902AR,HOOGEVEEN,20.0,95.0,100.0,40.0,1x25,2814,2015
99,8716912000008,871691280000000008,Noorderweg,7902AS,7902AT,HOOGEVEEN,29.0,100.0,100.0,52.0,1x40,5941,2015
100,8716912000008,871691280000000008,Willemskade,7902AV,7902AV,HOOGEVEEN,70.0,100.0,100.0,91.0,1x40,3275,2015
101,8716912000008,871691280000000008,Willemskade,7902AX,7902BE,HOOGEVEEN,41.0,100.0,100.0,83.0,1x40,2433,2015
102,8716912000008,871691280000000008,Wilhelminastraat,7902BG,7902BG,HOOGEVEEN,24.0,100.0,100.0,100.0,1x35,2615,2015
103,8716912000008,871691280000000008,Schoolstraat,7902BH,7902BH,HOOGEVEEN,11.0,100.0,100.0,100.0,1x25,1367,2015
104,8716912000008,871691280000000008,Schoolstraat,7902BJ,7902BJ,HOOGEVEEN,42.0,100.0,100.0,79.0,1x25,3503,2015
105,8716912000008,871691280000000008,Markt,7902BK,7902BK,HOOGEVEEN,50.0,100.0,100.0,80.0,1x40,9134,2015
106,8716912000008,871691280000000008,Wilhelminaplein,7902BL,7902BL,HOOGEVEEN,17.0,100.0,100.0,76.0,1x25,4024,2015
107,8716912000008,871691280000000008,Wilhelminastraat,7902BM,7902BM,HOOGEVEEN,19.0,100.0,100.0,63.0,1x25,2654,2015
108,8716912000008,871691280000000008,Wilhelminastraat,7902BN,7902BN,HOOGEVEEN,14.0,100.0,100.0,57.0,1x40,2528,2015
109,8716912000008,871691280000000008,Wilhelminastraat,7902BP,7902BP,HOOGEVEEN,60.0,98.33,100.0,83.0,1x40,2238,2015
110,8716912000008,871691280000000008,Nassaustraat,7902BR,7902BS,HOOGEVEEN,15.0,100.0,93.33,60.0,1x25,2787,2015
111,8716912000008,871691280000000008,Emmastraat,7902BT,7902BT,HOOGEVEEN,13.0,100.0,100.0,69.0,1x25,1683,2015
112,8716912000008,871691280000000008,Emmastraat,7902BV,7902BX,HOOGEVEEN,35.0,100.0,100.0,69.0,1x25,2659,2015
113,8716912000008,871691280000000008,Prins Hendrikstraat,7902BZ,7902CA,HOOGEVEEN,30.0,100.0,100.0,50.0,1x40,3009,2015
114,8716912000008,871691280000000008,Oranjestraat,7902CB,7902CB,HOOGEVEEN,13.0,100.0,100.0,54.0,1x25,2768,2015
115,8716912000008,871691280000000008,Oranjestraat,7902CC,7902CC,HOOGEVEEN,13.0,100.0,100.0,77.0,1x25,2616,2015
116,8716912000008,871691280000000008,Grote Kerkstraat,7902CD,7902CG,HOOGEVEEN,26.0,100.0,88.46,38.0,3x25,14961,2015
117,8716912000008,871691280000000008,Grote Kerkstraat,7902CH,7902CH,HOOGEVEEN,17.0,94.12,100.0,47.0,1x40,3953,2015
118,8716912000008,871691280000000008,Grote Kerkstraat,7902CJ,7902CJ,HOOGEVEEN,15.0,100.0,100.0,27.0,3x25,31163,2015
119,8716912000008,871691280000000008,Grote Kerkstraat,7902CK,7902CK,HOOGEVEEN,20.0,100.0,95.0,60.0,3x25,4959,2015
120,8716912000008,871691280000000008,Grote Kerkstraat,7902CL,7902CL,HOOGEVEEN,10.0,100.0,100.0,50.0,1x40,2490,2015
121,8716912000008,871691280000000008,Grote Kerkstraat,7902CM,7902CM,HOOGEVEEN,11.0,100.0,100.0,36.0,1x25,5498,2015
122,8716912000008,871691280000000008,Kleine Kerkstraat,7902CN,7902CR,HOOGEVEEN,22.0,100.0,100.0,64.0,1x40,2543,2015
123,8716912000008,871691280000000008,Hoofdstraat,7902EA,7902EA,HOOGEVEEN,15.0,100.0,100.0,47.0,3x25,16667,2015
124,8716912000008,871691280000000008,Hoofdstraat,7902EB,7902EB,HOOGEVEEN,14.0,100.0,100.0,36.0,3x25,10080,2015
125,8716912000008,871691280000000008,Hoofdstraat,7902EC,7902ED,HOOGEVEEN,21.0,100.0,100.0,38.0,3x25,32032,2015
